Quarter,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome,Revenue Growth,Operating Margin,Average Positive Sentiment,negative,neutral,positive,Aggregated NER Results,Aggregated Finance Keywords
2023-Q3,8023000000,14752000000,6729000000,42000000,1994000000,4458000000,1685000000,6029000000,-412000000,0.0,412000000,265000000.0,97000000.0,521000000,572000000,1863000000,159000000,412000000,1714000000,2105000000,2275000000,2847000000,1704000000,0.0,13.516811279826465,0.27831835,2.0,19.0,9.0,"['International Business Machines Corporation', 'As Market Di', 'International Business Machines', 'IBM Stock News']","['stock', 'earnings', 'earnings', 'share', 'revenue', 'stock', 'stock', 'put', 'stock', 'asset', 'stock', 'forecast', 'acquisition', 'acquisition', 'stock', 'stock', 'market', 'stock', 'rate', 'stock', 'stock']"
2023-Q2,8501000000,15475000000,6974000000,61000000,1984000000,4900000000,1687000000,6517000000,-423000000,201000000.0,423000000,163000000.0,39000000.0,520000000,557000000,2002000000,419000000,423000000,1581000000,1863000000,2425000000,2982000000,1583000000,4.901030368763548,12.820678513731826,0.15178579,2.0,23.0,5.0,"['International Business Machines Corporation', 'International Business Machines Corporation', '##paces Stock Market', 'International Business Machines', 'Trending Stock International Business Machines Corporation', 'International Business Machines Corporation', 'IBM Knowledge Accelerator for Financial Services']","['stock', 'earnings', 'profit', 'earnings', 'stock', 'market', 'earnings', 'share', 'shareholder', 'stock', 'dividend', 'yield', 'stock', 'stock', 'dividend', 'rate', 'stock', 'market', 'acquisition', 'merger', 'merger', 'acquisition']"
2023-Q1,7509000000,14252000000,6743000000,30000000,256000000,4853000000,1655000000,7253000000,-367000000,170000000.0,367000000,-93000000.0,22000000.0,527000000,547000000,1051000000,124000000,367000000,934000000,888000000,1418000000,1965000000,927000000,-7.903069466882073,1.796239124333427,0.09941805,2.0,25.0,3.0,"['International Business Machines', 'IBM Storage FlashSystem for Financial Services', 'International Business Machines Corporation', 'International Business Machines', 'Is International Business Machines Corporation']","['earnings', 'earnings', 'stock', 'stock', 'stock', 'trading', 'earnings', 'stock', 'earnings', 'stock', 'earnings', 'earnings', 'call', 'stock', 'stock', 'dividend', 'debt', 'debt', 'stock', 'exchange', 'stock', 'share']"
2022-Q4,9632000000,16690000000,7058000000,190000000,3294000000,4766000000,1604000000,6338000000,-313000000,64000000.0,313000000,-394000000.0,36000000.0,570000000,567000000,3154000000,444000000,313000000,2870000000,3109000000,3467000000,4034000000,2710000000,17.10637103564412,19.736369083283403,0.09996633,1.0,26.0,3.0,"['International Business Machines Corporation', 'Stock Historical', ""##tor ' s Business"", 'International Business Machines', 'Australian Stock Market', 'Financial Services Industry', 'IBM Financial Analyst Salary']","['stock', 'earnings', 'exchange', 'stock', 'revenue', 'investment', 'long', 'earnings', 'share', 'deflation', 'stock', 'put', 'stock', 'share', 'shareholder', 'spin-off', 'stock', 'sector', 'stock', 'market', 'stock', 'stock', 'risk', 'industry', 'trade']"
2022-Q3,7430000000,14107000000,6677000000,57000000,1471000000,4391000000,1611000000,5959000000,-295000000,53000000.0,295000000,363000000.0,80000000.0,586000000,577000000,-4483000000,-1287000000,295000000,-3214000000,1834000000,-4188000000,-3611000000,-3196000000,-15.47633313361294,10.42744736655561,0.08818769,3.0,24.0,3.0,"['International Business Machines Corporation', 'International Business Machines Corporation', 'International Business Machines']","['stock', 'share', 'forecast', 'trading', 'earnings', 'stock', 'trade', 'stock', 'revenue', 'share', 'portfolio', 'stock', 'stock', 'long', 'call', 'put', 'stock', 'dividend', 'rate', 'share', 'stock', 'put']"
2022-Q2,8290000000,15535000000,7246000000,120000000,2377000000,4855000000,1673000000,5913000000,-297000000,28000000.0,297000000,440000000.0,243000000.0,620000000,626000000,1649000000,257000000,297000000,1465000000,1755000000,1946000000,2572000000,1392000000,10.122634153257248,15.300933376247183,0.0671269,2.0,26.0,2.0,"['International Business Machines', 'International Business Machines Corporation', 'International Business Machines Corporation Common Stock', 'Financial Analyst', 'Financial Institutions']","['stock', 'earnings', 'stock', 'share', 'stock', 'share', 'stock', 'stock', 'stock', 'share', 'stock', 'index', 'investment', 'stock', 'put']"
2022-Q1,7335000000,14197000000,6862000000,19000000,470000000,4597000000,1679000000,6865000000,-311000000,17000000.0,311000000,-42000000.0,83000000.0,631000000,625000000,694000000,-39000000,311000000,662000000,1436000000,1005000000,1630000000,733000000,-8.6128097843579,3.3105585687116994,0.16631807,1.0,24.0,5.0,"['Financial Magazine X', 'International Business Machines Corp', 'Price Today', 'Stock']","['investment', 'revenue', 'share', 'growth', 'risk', 'share', 'stock', 'stock', 'rating', 'exchange', 'stock', 'share', 'stock', 'stock', 'stock', 'short', 'long', 'stock', 'stock', 'trade', 'share', 'short', 'stock', 'dividend', 'stock', 'share', 'stock', 'volatility', 'stock', 'earnings', 'share']"
2021-Q4,9501000000,16694000000,7195000000,89000000,913000000,4903000000,1625000000,5194000000,-303000000,13000000.0,303000000,0.0,38000000.0,749000000,632000000,2739000000,406000000,303000000,2462000000,5136000000,3042000000,3674000000,2333000000,17.588222863985358,5.4690307895052115,0.119884335,3.0,23.0,4.0,['International Business Machines Corporation'],"['stock', 'earnings', 'stock', 'inflation', 'stock', 'stock', 'share', 'growth', 'stock', 'long', 'call', 'call', 'stock']"
2021-Q3,7106000000,13251000000,6145000000,49000000,1761000000,4306000000,1606000000,6410000000,-291000000,-1000000.0,290000000,0.0,-234000000.0,1037000000,647000000,906000000,-224000000,291000000,1037000000,1480000000,1196000000,1843000000,1130000000,-20.62417635078472,13.289563051845143,0.19640346,2.0,22.0,6.0,"['International Business Machines Corporation Common Stock', 'International Business Machines Corporation', 'AI Stock', 'International Business Machines Corp']","['stock', 'stock', 'rate', 'stock', 'earnings', 'trade', 'revenue', 'share', 'rate', 'stock', 'share', 'trade', 'stock', 'stock', 'share', 'stock', 'share', 'share', 'funds', 'stock', 'stock', 'share', 'stock']"
2021-Q2,7852000000,14218000000,6366000000,103000000,2304000000,4849000000,1641000000,6700000000,-281000000,11000000.0,281000000,0.0,-315000000.0,1050000000,630000000,1426000000,101000000,281000000,810000000,1930000000,1707000000,2337000000,1325000000,7.297562448117123,16.204810803207202,0.1327716,0.0,26.0,4.0,"['Financial IT Services Industry', 'International Business Machines', 'International Business Machines Corporation Common Stock', 'International Business Machines Corporation Common Stock']","['exchange', 'stock', 'share', 'industry', 'stock', 'share', 'rate', 'stock', 'trade', 'stock', 'share', 'trading', 'partnership', 'stock', 'market', 'stock', 'risk', 'stock', 'return', 'stock', 'dividend', 'stock']"
2021-Q1,7027000000,13187000000,6160000000,59000000,1084000000,4688000000,1616000000,7120000000,-280000000,14000000.0,280000000,0.0,-362000000.0,1052000000,620000000,795000000,-160000000,280000000,403000000,2036000000,1075000000,1695000000,955000000,-7.251371500914338,8.220216880260862,0.09343744,2.0,25.0,3.0,"['International Business Machines Corporation', 'IBM Stock Forecast', 'International Business Machines Corporation', 'Better Cloud Computing Stock']","['earnings', 'rate', 'stock', 'rate', 'stock', 'earnings', 'trade', 'stock', 'short', 'stock', 'forecast', 'stock', 'call', 'stock', 'stock', 'revenue', 'stock', 'stock', 'trade', 'risk', 'return', 'rate', 'stock', 'put', 'stock']"
2020-Q4,5813000000,1926000000,-3888000000,181000000,-4000000000,4712000000,1540000000,2000000000,-317000000,15000000.0,317000000,0.0,-247000000.0,1089000000,610000000,884000000,-472000000,317000000,-305000000,603000000,1201000000,1811000000,1356000000,-85.3947069083188,-207.68431983385253,0.17243955,1.0,24.0,5.0,"['International Business Machines Corporation', 'IBM Strategic', 'Business Daily', 'Stock Research & Reports', 'Patent Lawsuit']","['stock', 'earnings', 'stock', 'debt', 'debt', 'stock', 'rate', 'stock', 'stock', 'restructuring', 'exchange', 'stock', 'share', 'stock', 'call', 'stock', 'stock', 'share', 'rate', 'stock', 'stock', 'call', 'put', 'options', 'stock', 'stock', 'stock', 'stock']"
2020-Q3,8430000000,17560000000,9130000000,64000000,2358000000,4647000000,1515000000,6072000000,-323000000,15000000.0,323000000,0.0,-253000000.0,1070000000,613000000,1826000000,128000000,323000000,1698000000,1870000000,2149000000,2762000000,1698000000,811.7341640706126,13.428246013667424,0.101510726,2.0,25.0,3.0,"['Computershare Investment Plan', 'IBM Historical Stock Lookup', 'Computershare Investment', 'International Business', 'Financial Time Series', 'International Business Machines Corporation', 'Stock Price & News', 'International Business Machines']","['share', 'investment', 'put', 'stock', 'share', 'investment', 'put', 'stock', 'stock', 'stock', 'turnaround', 'investment', 'dividend', 'valuation', 'stock', 'put', 'industry', 'stock', 'stock', 'index', 'stock', 'stock', 'share', 'stock', 'stock', 'dividend']"
2020-Q2,8700000000,18123000000,9423000000,117000000,2121000000,5248000000,1582000000,6579000000,-323000000,23000000.0,323000000,0.0,-179000000.0,1056000000,623000000,1570000000,209000000,323000000,1362000000,1888000000,1893000000,2516000000,1361000000,3.206150341685654,11.703360370799537,0.06687259,6.0,22.0,2.0,"['IBM Financial Services', 'IBM Cloud for Financial Services']","['share', 'stock', 'stock', 'stock', 'market', 'stock', 'share', 'stock', 'put', 'share', 'trading', 'funds', 'trading', 'call', 'stock', 'share', 'valuation', 'stock', 'market', 'sector']"
2020-Q1,7922000000,17571000000,9649000000,76000000,-145000000,5955000000,1625000000,8067000000,-326000000,51000000.0,326000000,0.0,-182000000.0,1012000000,622000000,-51000000,-1226000000,326000000,1176000000,489000000,275000000,897000000,1175000000,-3.0458533355404716,-0.8252233794320187,0.23182519,1.0,22.0,7.0,['IBM Financial'],"['stock', 'market', 'stock', 'stock', 'stock', 'stock', 'stock', 'market', 'exchange', 'share', 'stock', 'share', 'market', 'dividend', 'stock', 'stock', 'trading']"
